,iou,dice,pixel_acc
count,500.0,500.0,500.0
mean,1.2993909429236116e-09,1.2993909429236116e-09,0.9356940307617188
std,3.444018435366615e-09,3.444018435366615e-09,0.09125459603021041
min,2.5648917018061823e-11,2.5648917018061823e-11,0.40509033203125
25%,1.9751879298812725e-10,1.9751879298812725e-10,0.9227447509765626
50%,5.667430136302442e-10,5.667430136302442e-10,0.9730758666992188
75%,1.349983624887585e-09,1.349983624887585e-09,0.9886970520019532
max,6.666666507726404e-08,6.666666507726404e-08,0.9997711181640624
